127.0.0.1 - - [19/Jul/2024:21:37:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:37:55 +0530] "GET /13-filter-demo/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:37:56 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:37:56 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:38:09 +0530] "POST /13-filter-demo/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:38:09 +0530] "GET /13-filter-demo/user HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:38:14 +0530] "GET /13-filter-demo/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:38:14 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:43:17 +0530] "POST /13-filter-demo/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:43:17 +0530] "GET /13-filter-demo/login.jsp?error=true HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:43:32 +0530] "POST /13-filter-demo/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:43:32 +0530] "GET /13-filter-demo/login.jsp?error=true HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:43:42 +0530] "POST /13-filter-demo/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:43:42 +0530] "GET /13-filter-demo/user HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:43:46 +0530] "GET /13-filter-demo/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:43:46 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:47:09 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:47:25 +0530] "POST /13-filter-demo/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:47:25 +0530] "GET /13-filter-demo/user HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:47:31 +0530] "GET /13-filter-demo/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:47:31 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:50:05 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:51:04 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:51:05 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:51:06 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:51:06 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:51:27 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:51:35 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:51:50 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:52:01 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:52:12 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:52:25 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:57:14 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:58:53 +0530] "POST /13-filter-demo/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:21:58:53 +0530] "GET /13-filter-demo/user HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [19/Jul/2024:22:06:20 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 2140
0:0:0:0:0:0:0:1 - - [19/Jul/2024:22:06:21 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 2140
0:0:0:0:0:0:0:1 - - [19/Jul/2024:22:07:36 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 2134
0:0:0:0:0:0:0:1 - - [19/Jul/2024:22:08:56 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 2136
0:0:0:0:0:0:0:1 - - [19/Jul/2024:22:09:12 +0530] "GET /13-filter-demo/login.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:07:52 +0530] "POST /13-filter-demo/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:07:53 +0530] "GET /13-filter-demo/admin HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:08:03 +0530] "GET /13-filter-demo/admin HTTP/1.1" 200 2346
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:08:04 +0530] "GET /13-filter-demo/admin HTTP/1.1" 200 2346
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:08:17 +0530] "POST /13-filter-demo/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:08:17 +0530] "GET /13-filter-demo/admin HTTP/1.1" 200 2346
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:10:15 +0530] "POST /13-filter-demo/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:10:15 +0530] "GET /13-filter-demo/admin HTTP/1.1" 200 1646
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:10:15 +0530] "GET /13-filter-demo/includes/bank.jpeg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:16:00 +0530] "GET /13-filter-demo/admin HTTP/1.1" 200 1646
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:16:00 +0530] "GET /13-filter-demo/includes/bank.jpeg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:16:01 +0530] "GET /13-filter-demo/admin HTTP/1.1" 200 1646
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:16:01 +0530] "GET /13-filter-demo/includes/bank.jpeg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:16:20 +0530] "GET /13-filter-demo/admin HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:16:20 +0530] "GET /13-filter-demo/includes/bank.jpeg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:17:11 +0530] "GET /13-filter-demo/admin HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:17:11 +0530] "GET /13-filter-demo/includes/bank.jpeg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:17:13 +0530] "GET /13-filter-demo/admin HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:17:13 +0530] "GET /13-filter-demo/includes/bank.jpeg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Jul/2024:23:17:38 +0530] "GET /13-filter-demo/admin HTTP/1.1" 200 1415
